2019-09-18 23:15:35 INFO  AutomationUIPOC:126 - creating sheet to write the test findings
2019-09-18 23:15:37 INFO  AutomationUIPOC:49 - Chrome Browser Stared
2019-09-18 23:15:39 INFO  AutomationUIPOC:51 - Chrome Browser Maximized
2019-09-18 23:15:39 INFO  AutomationUIPOC:54 - Launching WebXP Application
2019-09-18 23:15:39 INFO  AutomationUIPOC:141 - No of rows present in the sheet:-0
2019-09-18 23:15:39 INFO  AutomationUIPOC:131 - Creating rows and columns to write the test findings
2019-09-18 23:15:39 INFO  AutomationUIPOC:86 - capturing buttons and storing them in list
2019-09-18 23:15:39 INFO  AutomationUIPOC:141 - No of rows present in the sheet:-3
2019-09-18 23:15:39 INFO  AutomationUIPOC:155 - writing following Test Findings:-count13
2019-09-18 23:15:39 INFO  AutomationUIPOC:166 - writing following Test Findings:-Text1 Value:- Location:-0,0
2019-09-18 23:15:39 INFO  AutomationUIPOC:166 - writing following Test Findings:-Text2 Value:-MY ACCOUNT Location:-472,28
2019-09-18 23:15:40 INFO  AutomationUIPOC:166 - writing following Test Findings:-Text3 Value:-OUTAGES & SAFETY Location:-610,28
2019-09-18 23:15:40 INFO  AutomationUIPOC:166 - writing following Test Findings:-Text4 Value:-SAVINGS & ENERGY CHOICES Location:-786,28
2019-09-18 23:15:40 INFO  AutomationUIPOC:166 - writing following Test Findings:-Text5 Value:- Location:-1029,28
2019-09-18 23:15:40 INFO  AutomationUIPOC:166 - writing following Test Findings:-Text6 Value:- Location:-0,0
2019-09-18 23:15:40 INFO  AutomationUIPOC:166 - writing following Test Findings:-Text7 Value:- Location:-0,0
2019-09-18 23:15:40 INFO  AutomationUIPOC:166 - writing following Test Findings:-Text8 Value:- Location:-1089,28
2019-09-18 23:15:40 INFO  AutomationUIPOC:166 - writing following Test Findings:-Text9 Value:- Location:-1149,28
2019-09-18 23:15:40 INFO  AutomationUIPOC:166 - writing following Test Findings:-Text10 Value:-SIGN IN Location:-1209,28
2019-09-18 23:15:40 INFO  AutomationUIPOC:166 - writing following Test Findings:-Text11 Value:- Location:-0,0
2019-09-18 23:15:40 INFO  AutomationUIPOC:166 - writing following Test Findings:-Text12 Value:-SIGN IN Location:-73,572
2019-09-18 23:15:40 INFO  AutomationUIPOC:175 - Test Output is saved at C:\Users\sa_qa_user\Git1\PacificorpUI\Pacificorp.WebXP\test-output\TestUIOutput2019-09-1823-15-34.xlsx
2019-09-18 23:15:40 INFO  AutomationUIPOC:141 - No of rows present in the sheet:-3
2019-09-18 23:15:40 INFO  AutomationUIPOC:131 - Creating rows and columns to write the test findings
2019-09-18 23:15:40 INFO  AutomationUIPOC:96 - capturing links and storing them in list
2019-09-18 23:15:40 INFO  AutomationUIPOC:141 - No of rows present in the sheet:-6
2019-09-18 23:15:40 INFO  AutomationUIPOC:155 - writing following Test Findings:-count37
2019-09-18 23:15:40 INFO  AutomationUIPOC:166 - writing following Test Findings:-Text1 Value:-MY ACCOUNT Location:-452,28
2019-09-18 23:15:41 INFO  AutomationUIPOC:166 - writing following Test Findings:-Text2 Value:-OUTAGES & SAFETY Location:-590,28
